educ,period,delta,p,transition,age,time_mid,effect,cc,rate_effect,cc_total
basic,2000-2004,-0.00550546256504627,0.009684095299674206,HD,79,2002,-1.6704001370878885,0.009196325423385528,1.0811232705087916,0.0014784837821179243
basic,2000-2004,-0.00559839689483254,0.00995102925772581,HD,79.25,2002,-1.6069841878664262,0.008996535287396391,1.0811232705087916,0.001446363727390856
basic,2000-2004,-0.00569245523982517,0.010226661657109585,HD,79.5,2002,-1.5451366583862596,0.008795621267276817,1.0811232705087916,0.0014140629869677805
basic,2000-2004,-0.00578760906612748,0.01051129190894384,HD,79.75,2002,-1.484846903402526,0.008593713399943774,1.0811232705087916,0.0013816024667501275
basic,2000-2004,-0.0058838265129310206,0.010805230003639161,HD,80,2002,-1.4261037047745977,0.008390946788341931,1.0811232705087916,0.0013490038870993908
basic,2000-2004,-0.00598107935742395,0.011108791613966114,HD,80.25,2002,-1.368895260124094,0.008187471182803708,1.0811232705087916,0.001316291323222531
basic,2000-2004,-0.006079350874343789,0.011422292630216095,HD,80.5,2002,-1.3132091861825792,0.007983459414215358,1.0811232705087916,0.001283492560963417
basic,2000-2004,-0.0061786250421572205,0.011746057440647061,HD,80.75,2002,-1.2590325331909524,0.007779089938464261,1.0811232705087916,0.0012506362904915632
basic,2000-2004,-0.006278885161059211,0.012080420226476714,HD,81,2002,-1.20635178724004,0.007574544335918745,1.0811232705087916,0.0012177517042960746
basic,2000-2004,-0.00638011394539236,0.012425725175563201,HD,81.25,2002,-1.1551528716727064,0.007370006945619065,1.0811232705087916,0.001184868438374905
basic,2000-2004,-0.006482293629860299,0.012782326694996139,HD,81.5,2002,-1.1054211492224593,0.007165664473917599,1.0811232705087916,0.0011520165093163433
basic,2000-2004,-0.00658540609063166,0.01315058962210327,HD,81.75,2002,-1.0571414249159123,0.006961705578300281,1.0811232705087916,0.0011192262473904147
basic,2000-2004,-0.006689432982487052,0.013530889433344805,HD,82,2002,-1.0102979497663098,0.0067583204273058,1.0811232705087916,0.001086528225797542
basic,2000-2004,-0.006794355893219152,0.013923612450534015,HD,82.25,2002,-0.9648744252850399,0.0065557002376518524,1.0811232705087916,0.0010539531862528086
basic,2000-2004,-0.00690015651655573,0.014329156043788064,HD,82.5,2002,-0.9208540088376701,0.006354036789877717,1.0811232705087916,0.0010215319611163146
basic,2000-2004,-0.007006816844935012,0.014747928830578686,HD,82.75,2002,-0.8782193198705115,0.006153521924016069,1.0811232705087916,9.892953923128524e-4
basic,2000-2004,-0.007114319383521708,0.015180350870214274,HD,83,2002,-0.8369524470330378,0.005954347017013067,1.0811232705087916,9.572742473172704e-4
basic,2000-2004,-0.00722264738691617,0.015626853853050834,HD,83.25,2002,-0.7970349562206666,0.005756702443828041,1.0811232705087916,9.254991325160258e-4
basic,2000-2004,-0.00733178512006665,0.016087881283689584,HD,83.5,2002,-0.7584478995614043,0.005560777024350109,1.0811232705087916,8.940004042885362e-4
basic,2000-2004,-0.007441718144959029,0.016563888657382824,HD,83.75,2002,-0.7211718253686877,0.005366757458479388,1.0811232705087916,8.628080781857677e-4
basic,2000-2004,-0.00755243363471772,0.01705534362883069,HD,84,2002,-0.6851867890813804,0.005174827751922454,1.0811232705087916,8.319517366159612e-4
basic,2000-2004,-0.007663920716812251,0.017562726172513685,HD,84.25,2002,-0.6504723652103156,0.004985168635449203,1.0811232705087916,8.014604354791548e-4
basic,2000-2004,-0.007776170847124501,0.01808652873366668,HD,84.5,2002,-0.6170076603089811,0.004797956980547196,1.0811232705087916,7.713626102225344e-4
basic,2000-2004,-0.007889178216688542,0.018627256368962522,HD,84.75,2002,-0.5847713269839291,0.004613365214585666,1.0811232705087916,7.416859818169513e-4
basic,2000-2004,-0.00800294019297361,0.019185426875934695,HD,85,2002,-0.553741578958227,0.004431560738765464,1.0811232705087916,7.124574631813345e-4
